12772 0.0  AUX --> do
3 0.0  NN --> wiggleworm
3 0.0  NN --> wiper
3 0.0  NN --> wizard
3 0.0  NN --> yawn
2 0.0  NN --> abc
2 0.0  NN --> achoo
2 0.0  NN --> ad
2 0.0  NN --> adam
2 0.0  NN --> aic
2 0.0  NN --> aid
2 0.0  NN --> almanac
2 0.0  NN --> aminal
2 0.0  NN --> amount
2 0.0  NN --> ankle
2 0.0  NN --> announcement
2 0.0  NN --> appetite
2 0.0  NN --> appointment
2 0.0  NN --> appy
2 0.0  NN --> araining
2 0.0  NN --> arch
2 0.0  NN --> astronaut
2 0.0  NN --> athlete
2 0.0  NN --> attack
2 0.0  NN --> audience
2 0.0  NN --> baboon
2 0.0  NN --> backhoe
2 0.0  NN --> badger
2 0.0  NN --> baking
2 0.0  NN --> balcony
2 0.0  NN --> ballie
2 0.0  NN --> bandit
2 0.0  NN --> banister
2 0.0  NN --> barroom
2 0.0  NN --> base
2 0.0  NN --> bassinet
2 0.0  NN --> batch
2 0.0  NN --> batter
2 0.0  NN --> battle
2 0.0  NN --> beanstalk
2 0.0  NN --> beast
2 0.0  NN --> beating
2 0.0  NN --> beaver
2 0.0  NN --> bedspread
2 0.0  NN --> beetle
2 0.0  NN --> billy
2 0.0  NN --> biochemistry
2 0.0  NN --> birdfeeder
2 0.0  NN --> blackbird
2 0.0  NN --> bleach
2 0.0  NN --> blonde
2 0.0  NN --> blow
2 0.0  NN --> bluejay
2 0.0  NN --> bobby
2 0.0  NN --> bobbypin
2 0.0  NN --> bomb
2 0.0  NN --> bookstore
2 0.0  NN --> boyfriend
2 0.0  NN --> braid
2 0.0  NN --> breather
2 0.0  NN --> breeze
2 0.0  NN --> bubblegum
2 0.0  NN --> bubbley
2 0.0  NN --> budget
2 0.0  NN --> buffalo
2 0.0  NN --> bugger
2 0.0  NN --> bulkhead
2 0.0  NN --> bumble
2 0.0  NN --> bunk
2 0.0  NN --> burger
2 0.0  NN --> burro
2 0.0  NN --> cabin
2 0.0  NN --> caboosey
2 0.0  NN --> caca
2 0.0  NN --> cactus
2 0.0  NN --> camper
2 0.0  NN --> cartwheel
2 0.0  NN --> casserole
2 0.0  NN --> catalog
2 0.0  NN --> cause
2 0.0  NN --> center
2 0.0  NN --> centipede
2 0.0  NN --> cha
2 0.0  NN --> chacha
2 0.0  NN --> chaos
2 0.0  NN --> charades
2 0.0  NN --> chariot
2 0.0  NN --> checkbook
2 0.0  NN --> cheese_popc
2 0.0  NN --> cheetah
2 0.0  NN --> cigar
2 0.0  NN --> cinnamon
2 0.0  NN --> clicking
2 0.0  NN --> coffeepot
2 0.0  NN --> coloringbook
2 0.0  NN --> commerationc
2 0.0  NN --> concert
2 0.0  NN --> conclusion
2 0.0  NN --> conditioner
2 0.0  NN --> confusion
2 0.0  NN --> control
2 0.0  NN --> coolpop
2 0.0  NN --> copycat
2 0.0  NN --> corkscrew
2 0.0  NN --> crack
2 0.0  NN --> crew
2 0.0  NN --> crisscross
2 0.0  NN --> croissant
2 0.0  NN --> crow
2 0.0  NN --> cruise
2 0.0  NN --> cuckoonut
2 0.0  NN --> cuddler
2 0.0  NN --> cugb
2 0.0  NN --> custard
2 0.0  NN --> cutting
2 0.0  NN --> cycle
2 0.0  NN --> daisy
2 0.0  NN --> danger
2 0.0  NN --> date
2 0.0  NN --> daylight
2 0.0  NN --> decision
2 0.0  NN --> demonstration
2 0.0  NN --> dere
2 0.0  NN --> dingdong
2 0.0  NN --> dip
2 0.0  NN --> distinction
2 0.0  NN --> diving
2 0.0  NN --> dock
2 0.0  NN --> dodge
2 0.0  NN --> dollhouse
2 0.0  NN --> dope
2 0.0  NN --> dose
2 0.0  NN --> dosst
2 0.0  NN --> dragonfly
2 0.0  NN --> drive
2 0.0  NN --> drumstick
2 0.0  NN --> dummy
2 0.0  NN --> dumper
2 0.0  NN --> dungeon
2 0.0  NN --> e
2 0.0  NN --> eater
2 0.0  NN --> editor
2 0.0  NN --> eggshell
2 0.0  NN --> eighty
2 0.0  NN --> electricity
2 0.0  NN --> eleventh
2 0.0  NN --> espresso
2 0.0  NN --> etcetera
2 0.0  NN --> express
2 0.0  NN --> extension
2 0.0  NN --> fail
2 0.0  NN --> fancy
2 0.0  NN --> fatherinlaw
2 0.0  NN --> faumc
2 0.0  NN --> felt
2 0.0  NN --> ferris
2 0.0  NN --> fighter
2 0.0  NN --> fighting
2 0.0  NN --> finktest
2 0.0  NN --> firechief
2 0.0  NN --> fishbowl
2 0.0  NN --> flamingo
2 0.0  NN --> flap
2 0.0  NN --> flirt
2 0.0  NN --> flute
2 0.0  NN --> folder
2 0.0  NN --> folding
2 0.0  NN --> footie
2 0.0  NN --> footstool
2 0.0  NN --> frame
2 0.0  NN --> freeze
2 0.0  NN --> fudgesicle
2 0.0  NN --> funeral
2 0.0  NN --> fussy
2 0.0  NN --> garlic
2 0.0  NN --> gazelle
2 0.0  NN --> genie
2 0.0  NN --> gentleman
2 0.0  NN --> goodie
2 0.0  NN --> goody
2 0.0  NN --> graduate
2 0.0  NN --> grandpa
2 0.0  NN --> gravity
2 0.0  NN --> grouch
2 0.0  NN --> guarantee
2 0.0  NN --> guard
2 0.0  NN --> gull
2 0.0  NN --> gumby
2 0.0  NN --> gut
2 0.0  NN --> gym
2 0.0  NN --> hacec
2 0.0  NN --> hairdresser
2 0.0  NN --> handball
2 0.0  NN --> happiness
2 0.0  NN --> hard
2 0.0  NN --> hatsowp
2 0.0  NN --> he
2 0.0  NN --> health
2 0.0  NN --> heirloom
2 0.0  NN --> helium
2 0.0  NN --> hitch
2 0.0  NN --> hock
2 0.0  NN --> hockey
2 0.0  NN --> holding
2 0.0  NN --> holiday
2 0.0  NN --> hon
2 0.0  NN --> hood
2 0.0  NN --> hopper
2 0.0  NN --> horseshoe
2 0.0  NN --> horsey
2 0.0  NN --> hugger
2 0.0  NN --> huh
2 0.0  NN --> hunk
2 0.0  NN --> ice-cream
2 0.0  NN --> iceberg
2 0.0  NN --> indigestion
2 0.0  NN --> infection
2 0.0  NN --> insect
2 0.0  NN --> instigator
2 0.0  NN --> instrument
2 0.0  NN --> intermission
2 0.0  NN --> inventory
2 0.0  NN --> issue
2 0.0  NN --> itch
2 0.0  NN --> jack
2 0.0  NN --> jammies
2 0.0  NN --> jay
2 0.0  NN --> jazz
2 0.0  NN --> jellyfish
2 0.0  NN --> jigsaw
2 0.0  NN --> keeper
2 0.0  NN --> kerchief
2 0.0  NN --> keyhole
2 0.0  NN --> kick
2 0.0  NN --> kidney
2 0.0  NN --> kitties
2 0.0  NN --> knitting
2 0.0  NN --> koala
2 0.0  NN --> l
2 0.0  NN --> ladle
2 0.0  NN --> lane
2 0.0  NN --> lastname
2 0.0  NN --> leak
2 0.0  NN --> lifepreserver
2 0.0  NN --> lift
2 0.0  NN --> linoleum
2 0.0  NN --> loaf
2 0.0  NN --> logic
2 0.0  NN --> lolly
2 0.0  NN --> lollypop
2 0.0  NN --> lottery
2 0.0  NN --> loveadoveadove
2 0.0  NN --> lullabye
2 0.0  NN --> lump
2 0.0  NN --> lumpylump
2 0.0  NN --> lunchy
2 0.0  NN --> mamamab
2 0.0  NN --> manager
2 0.0  NN --> manger
2 0.0  NN --> mantle
2 0.0  NN --> marmite
2 0.0  NN --> matron
2 0.0  NN --> may
2 0.0  NN --> meadow
2 0.0  NN --> meanchie
2 0.0  NN --> meatloaf
2 0.0  NN --> mercy
2 0.0  NN --> meringue
2 0.0  NN --> mermaid
2 0.0  NN --> microwave
2 0.0  NN --> midnight
2 0.0  NN --> millet
2 0.0  NN --> millionaire
2 0.0  NN --> mincemeat
2 0.0  NN --> mischief
2 0.0  NN --> missile
2 0.0  NN --> missus
2 0.0  NN --> mix
2 0.0  NN --> mold
2 0.0  NN --> mole
2 0.0  NN --> moomoo
2 0.0  NN --> moose
2 0.0  NN --> move
2 0.0  NN --> muddley
2 0.0  NN --> munchkin
2 0.0  NN --> mushroom
2 0.0  NN --> mwah
2 0.0  NN --> nana
2 0.0  NN --> nannie
2 0.0  NN --> nappy
2 0.0  NN --> naptime
2 0.0  NN --> navigator
2 0.0  NN --> necktie
2 0.0  NN --> nibble
2 0.0  NN --> nicknack
2 0.0  NN --> nightnight
2 0.0  NN --> noisy
2 0.0  NN --> nonsense
2 0.0  NN --> north
2 0.0  NN --> notice
2 0.0  NN --> nowhere
2 0.0  NN --> numberern
2 0.0  NN --> nursie
2 0.0  NN --> oar
2 0.0  NN --> oat
2 0.0  NN --> obsession
2 0.0  NN --> odor
2 0.0  NN --> opera
2 0.0  NN --> operation
2 0.0  NN --> opinion
2 0.0  NN --> opposite
2 0.0  NN --> organ
2 0.0  NN --> pack
2 0.0  NN --> paintbrush
2 0.0  NN --> pale
2 0.0  NN --> palm
2 0.0  NN --> pant
2 0.0  NN --> panties
2 0.0  NN --> passenger
2 0.0  NN --> pastina
2 0.0  NN --> patch
2 0.0  NN --> path
2 0.0  NN --> patience
2 0.0  NN --> patient
2 0.0  NN --> peck
2 0.0  NN --> pee
2 0.0  NN --> pelican
2 0.0  NN --> perch
2 0.0  NN --> permission
2 0.0  NN --> phrase
2 0.0  NN --> piccalilli
2 0.0  NN --> pigeon
2 0.0  NN --> piggywiggy
2 0.0  NN --> pilaf
2 0.0  NN --> pinata
2 0.0  NN --> pinkie
2 0.0  NN --> playdough
2 0.0  NN --> pleasure
2 0.0  NN --> pledge
2 0.0  NN --> plunger
2 0.0  NN --> pneumonia
2 0.0  NN --> poison
2 0.0  NN --> polarbear
2 0.0  NN --> polka
2 0.0  NN --> poo
2 0.0  NN --> pooh^ball
2 0.0  NN --> popper
2 0.0  NN --> portrait
2 0.0  NN --> position
2 0.0  NN --> postcard
2 0.0  NN --> poster
2 0.0  NN --> powderpuff
2 0.0  NN --> powerball
2 0.0  NN --> prediction
2 0.0  NN --> press
2 0.0  NN --> pretend
2 0.0  NN --> pride
2 0.0  NN --> print
2 0.0  NN --> process
2 0.0  NN --> professor
2 0.0  NN --> proof
2 0.0  NN --> puddle
2 0.0  NN --> puddley
2 0.0  NN --> purring
2 0.0  NN --> pussy
2 0.0  NN --> quiet
2 0.0  NN --> railing
2 0.0  NN --> range
2 0.0  NN --> rat
2 0.0  NN --> repair
2 0.0  NN --> request
2 0.0  NN --> reservation
2 0.0  NN --> rewind
2 0.0  NN --> rides
2 0.0  NN --> riverboat
2 0.0  NN --> robber
2 0.0  NN --> rollerskate
2 0.0  NN --> rolling
2 0.0  NN --> rootbeer
2 0.0  NN --> rubbish
2 0.0  NN --> ruff
2 0.0  NN --> ruler
2 0.0  NN --> rummage
2 0.0  NN --> sacrifice
2 0.0  NN --> salami
2 0.0  NN --> saltine
2 0.0  NN --> sandal
2 0.0  NN --> scale
2 0.0  NN --> schoolyard
2 0.0  NN --> score
2 0.0  NN --> scrap
2 0.0  NN --> scraper
2 0.0  NN --> scream
2 0.0  NN --> seagull
2 0.0  NN --> seashore
2 0.0  NN --> sentence
2 0.0  NN --> sergeant
2 0.0  NN --> series
2 0.0  NN --> seventeen
2 0.0  NN --> shakeshake
2 0.0  NN --> shaver
2 0.0  NN --> shed
2 0.0  NN --> sheet
2 0.0  NN --> sheriff
2 0.0  NN --> shift
2 0.0  NN --> short
2 0.0  NN --> silk
2 0.0  NN --> sillydilly
2 0.0  NN --> sillytalk
2 0.0  NN --> sillywilly
2 0.0  NN --> singing
2 0.0  NN --> sitter
2 0.0  NN --> slang
2 0.0  NN --> sleepyhead
2 0.0  NN --> slob
2 0.0  NN --> slot
2 0.0  NN --> smartypants
2 0.0  NN --> smiler
2 0.0  NN --> smiles
2 0.0  NN --> smokestack
2 0.0  NN --> snaps
2 0.0  NN --> sneaker
2 0.0  NN --> sneeze
2 0.0  NN --> somewhere
2 0.0  NN --> span
2 0.0  NN --> special
2 0.0  NN --> spice
2 0.0  NN --> spin
2 0.0  NN --> splash
2 0.0  NN --> spoonful
2 0.0  NN --> spout
2 0.0  NN --> stack
2 0.0  NN --> starfish
2 0.0  NN --> steering
2 0.0  NN --> stickerbird
2 0.0  NN --> stock
2 0.0  NN --> stub
2 0.0  NN --> stuffed
2 0.0  NN --> subject
2 0.0  NN --> suck
2 0.0  NN --> suicide
2 0.0  NN --> sumpin
2 0.0  NN --> suntan
2 0.0  NN --> supermarket
2 0.0  NN --> swarm
2 0.0  NN --> swimmer
2 0.0  NN --> swingset
2 0.0  NN --> t
2 0.0  NN --> tab
2 0.0  NN --> talker
2 0.0  NN --> tantrum
2 0.0  NN --> tap
2 0.0  NN --> tartar
2 0.0  NN --> tear
2 0.0  NN --> tease
2 0.0  NN --> tee
2 0.0  NN --> teenager
2 0.0  NN --> teeshirt
2 0.0  NN --> temple
2 0.0  NN --> ten
2 0.0  NN --> theo
2 0.0  NN --> they
2 0.0  NN --> thinking
2 0.0  NN --> throw
2 0.0  NN --> thrower
2 0.0  NN --> tic_tac_toe
2 0.0  NN --> tickletickle
2 0.0  NN --> tickletickletickletickle
2 0.0  NN --> tickley
2 0.0  NN --> ticktock
2 0.0  NN --> tide
2 0.0  NN --> tidepool
2 0.0  NN --> tinker
2 0.0  NN --> tock
2 0.0  NN --> toebowwp
2 0.0  NN --> toenail
2 0.0  NN --> tonnie
2 0.0  NN --> trainer
2 0.0  NN --> transportation
2 0.0  NN --> trooper
2 0.0  NN --> troublemaker
2 0.0  NN --> tsquare
2 0.0  NN --> twelve
2 0.0  NN --> twinkle
2 0.0  NN --> type
2 0.0  NN --> union
2 0.0  NN --> v_c_r
2 0.0  NN --> vanity
2 0.0  NN --> velvet
2 0.0  NN --> vine
2 0.0  NN --> vl
2 0.0  NN --> walnut
2 0.0  NN --> warm
2 0.0  NN --> washing
2 0.0  NN --> watering
2 0.0  NN --> weathervane
2 0.0  NN --> whatever
2 0.0  NN --> whereabouts
2 0.0  NN --> wiener
2 0.0  NN --> wish
2 0.0  NN --> wishywashy
2 0.0  NN --> woofwoof
2 0.0  NN --> wrestler
2 0.0  NN --> writeup
2 0.0  NN --> xxx
2 0.0  NN --> yuck
2 0.0  NN --> zoom
2 0.0  NN --> zwieback
1 0.0  NN --> 'ere
1 0.0  NN --> 0you
1 0.0  NN --> a_one
1 0.0  NN --> aachoo
1 0.0  NN --> aah
1 0.0  NN --> abab
1 0.0  NN --> ablablab
1 0.0  NN --> aboo
1 0.0  NN --> ace
1 0.0  NN --> acorn
1 0.0  NN --> action
1 0.0  NN --> acupine
1 0.0  NN --> adadadab
1 0.0  NN --> addition
1 0.0  NN --> admirer
1 0.0  NN --> affection
1 0.0  NN --> ah
1 0.0  NN --> aisle
1 0.0  NN --> allgone
1 0.0  NN --> allison
1 0.0  NN --> allomorph
1 0.0  NN --> alls
1 0.0  NN --> alright
1 0.0  NN --> altenc
1 0.0  NN --> alternative
1 0.0  NN --> alum
1 0.0  NN --> am
1 0.0  NN --> ammunition
1 0.0  NN --> anchor
1 0.0  NN --> angel
1 0.0  NN --> animals
1 0.0  NN --> animation
1 0.0  NN --> anniversary
1 0.0  NN --> anytime
1 0.0  NN --> anyway
1 0.0  NN --> anywhere
1 0.0  NN --> appendicitis
1 0.0  NN --> apricot
1 0.0  NN --> arb
1 0.0  NN --> arcade
1 0.0  NN --> armie
1 0.0  NN --> armpit
1 0.0  NN --> article
1 0.0  NN --> ass
1 0.0  NN --> assistant
1 0.0  NN --> atlas
1 0.0  NN --> audio
1 0.0  NN --> avenue
1 0.0  NN --> awhere
1 0.0  NN --> axercisewp
1 0.0  NN --> axle
1 0.0  NN --> b
1 0.0  NN --> ba
1 0.0  NN --> baa
1 0.0  NN --> baba
1 0.0  NN --> babe
1 0.0  NN --> babydoll
1 0.0  NN --> babyfood
1 0.0  NN --> babyseat
1 0.0  NN --> babytalk
1 0.0  NN --> bachelor
1 0.0  NN --> back_doorsief
1 0.0  NN --> back_doorsiesf
1 0.0  NN --> backbone
1 0.0  NN --> background
1 0.0  NN --> backspace
1 0.0  NN --> badminton
1 0.0  NN --> baggage
1 0.0  NN --> baggy
1 0.0  NN --> bakery
1 0.0  NN --> baldy
1 0.0  NN --> ballgame
1 0.0  NN --> ballpark
1 0.0  NN --> bamboo
1 0.0  NN --> band_aid
1 0.0  NN --> banter
1 0.0  NN --> barefoot
1 0.0  NN --> barley
1 0.0  NN --> bars
1 0.0  NN --> baster
1 0.0  NN --> beachball
1 0.0  NN --> beads
1 0.0  NN --> beanbag
1 0.0  NN --> beepbeep
1 0.0  NN --> beet
1 0.0  NN --> behavior
1 0.0  NN --> bench
1 0.0  NN --> best
1 0.0  NN --> between
1 0.0  NN --> bible
1 0.0  NN --> bickle_bicklewp
1 0.0  NN --> bid
1 0.0  NN --> bikini
1 0.0  NN --> bingo
1 0.0  NN --> binkyc
1 0.0  NN --> birdfeed
1 0.0  NN --> birdfood
1 0.0  NN --> birdhouse
1 0.0  NN --> birdy
1 0.0  NN --> birth
1 0.0  NN --> biscuit
1 0.0  NN --> bites
1 0.0  NN --> bitsy
1 0.0  NN --> bl-s
1 0.0  NN --> blacksmith
1 0.0  NN --> blanky
1 0.0  NN --> bleed
1 0.0  NN --> blocks
1 0.0  NN --> blondies
1 0.0  NN --> boar
1 0.0  NN --> bobof
1 0.0  NN --> boiler
1 0.0  NN --> bologna
1 0.0  NN --> bolt
1 0.0  NN --> bonus
1 0.0  NN --> booklet
1 0.0  NN --> boomo
1 0.0  NN --> booster
1 0.0  NN --> bootie
1 0.0  NN --> booy
1 0.0  NN --> booze
1 0.0  NN --> bouncey
1 0.0  NN --> bowel
1 0.0  NN --> bowfc
1 0.0  NN --> bowls
1 0.0  NN --> boxcar
1 0.0  NN --> boxer
1 0.0  NN --> boxful
1 0.0  NN --> boyoy
1 0.0  NN --> brandy
1 0.0  NN --> brat
1 0.0  NN --> bravo
1 0.0  NN --> breakdancing
1 0.0  NN --> breakdown
1 0.0  NN --> breakwist
1 0.0  NN --> brew
1 0.0  NN --> brontiasaurus
1 0.0  NN --> bronze
1 0.0  NN --> broomstick
1 0.0  NN --> broth
1 0.0  NN --> brushing
1 0.0  NN --> bubaf
1 0.0  NN --> buddybud
1 0.0  NN --> buddybuddy
1 0.0  NN --> budooc
1 0.0  NN --> buggie
1 0.0  NN --> bugspray
1 0.0  NN --> bully
1 0.0  NN --> bunkhouse
1 0.0  NN --> buoy
1 0.0  NN --> burglar
1 0.0  NN --> buster
1 0.0  NN --> buttercup
1 0.0  NN --> butterscotch
1 0.0  NN --> butthead
1 0.0  NN --> buttomc
1 0.0  NN --> buttyc
1 0.0  NN --> c_e_o
1 0.0  NN --> cabooseycaboosey
1 0.0  NN --> caboozlewp
1 0.0  NN --> cadet
1 0.0  NN --> cafeteria
1 0.0  NN --> callaloo
1 0.0  NN --> calling
1 0.0  NN --> camomille
1 0.0  NN --> cancer
1 0.0  NN --> canoe
1 0.0  NN --> carbed
1 0.0  NN --> carleton
1 0.0  NN --> carnation
1 0.0  NN --> carrots
1 0.0  NN --> carry
1 0.0  NN --> cashregister
1 0.0  NN --> cassette
1 0.0  NN --> catalogue
1 0.0  NN --> category
1 0.0  NN --> catfood
1 0.0  NN --> catnap
1 0.0  NN --> cellophane
1 0.0  NN --> cha_cha_cha
1 0.0  NN --> chaiselounge
1 0.0  NN --> chalkboard
1 0.0  NN --> challenge
1 0.0  NN --> champagne
1 0.0  NN --> chapstick
1 0.0  NN --> chatterbox
1 0.0  NN --> chattertox
1 0.0  NN --> cheating
1 0.0  NN --> checkup
1 0.0  NN --> chew
1 0.0  NN --> chewer
1 0.0  NN --> chewing
1 0.0  NN --> chicky
1 0.0  NN --> chime
1 0.0  NN --> chimp
1 0.0  NN --> chinchin
1 0.0  NN --> chipmunk
1 0.0  NN --> chisel
1 0.0  NN --> chocolatechip
1 0.0  NN --> chopper
1 0.0  NN --> chow
1 0.0  NN --> christmas_tree
1 0.0  NN --> chubby
1 0.0  NN --> chubbychub
1 0.0  NN --> chubbywub
1 0.0  NN --> chunk
1 0.0  NN --> cider
1 0.0  NN --> circulation
1 0.0  NN --> clarinet
1 0.0  NN --> classroom
1 0.0  NN --> cleaning
1 0.0  NN --> climber
1 0.0  NN --> clinic
1 0.0  NN --> clip_clipo
1 0.0  NN --> clockwise
1 0.0  NN --> clothes
1 0.0  NN --> clothing
1 0.0  NN --> clue
1 0.0  NN --> cockadoodledooo
1 0.0  NN --> cockedoodledoo
1 0.0  NN --> code
1 0.0  NN --> com
1 0.0  NN --> comedian
1 0.0  NN --> comedy
1 0.0  NN --> comicstrip
1 0.0  NN --> comma
1 0.0  NN --> communication
1 0.0  NN --> compact
1 0.0  NN --> compactor
1 0.0  NN --> con
1 0.0  NN --> concentration
1 0.0  NN --> concrete
1 0.0  NN --> condition
1 0.0  NN --> conducter
1 0.0  NN --> confrontation
1 0.0  NN --> constipation
1 0.0  NN --> construction
1 0.0  NN --> conversationalist
1 0.0  NN --> convertible
1 0.0  NN --> cooler
1 0.0  NN --> coop
1 0.0  NN --> corduroy
1 0.0  NN --> core
1 0.0  NN --> cost
1 0.0  NN --> cot
1 0.0  NN --> counseling
1 0.0  NN --> count
1 0.0  NN --> counting
1 0.0  NN --> coupon
1 0.0  NN --> courage
1 0.0  NN --> covering
1 0.0  NN --> cowgirl
1 0.0  NN --> coyote
1 0.0  NN --> cranapple
1 0.0  NN --> crate
1 0.0  NN --> crawling
1 0.0  NN --> crazy
1 0.0  NN --> creamer
1 0.0  NN --> cremesoda
1 0.0  NN --> crinklecrinkle
1 0.0  NN --> crisis
1 0.0  NN --> crook
1 0.0  NN --> crotch
1 0.0  NN --> crust
1 0.0  NN --> crystal
1 0.0  NN --> cuckoo
1 0.0  NN --> cuddle
1 0.0  NN --> cuddly
1 0.0  NN --> cuffin
1 0.0  NN --> current
1 0.0  NN --> cutecute
1 0.0  NN --> cutest
1 0.0  NN --> cutiecutiecute
1 0.0  NN --> cutiecutiecutie
1 0.0  NN --> cutiepatut
1 0.0  NN --> dabadooc
1 0.0  NN --> dada
1 0.0  NN --> dadadab
1 0.0  NN --> dadadadab
1 0.0  NN --> dadadadadadadadadab
1 0.0  NN --> dark_timec
1 0.0  NN --> darkness
1 0.0  NN --> darts
1 0.0  NN --> daycare
1 0.0  NN --> dead
1 0.0  NN --> decorating
1 0.0  NN --> decorator
1 0.0  NN --> decoy
1 0.0  NN --> deduction
1 0.0  NN --> delfc
1 0.0  NN --> delictation
1 0.0  NN --> dell
1 0.0  NN --> demon
1 0.0  NN --> depressor
1 0.0  NN --> derrick
1 0.0  NN --> description
1 0.0  NN --> destruction
1 0.0  NN --> detective
1 0.0  NN --> diandra
1 0.0  NN --> diap[er]
1 0.0  NN --> dice
1 0.0  NN --> dictionary
1 0.0  NN --> difficulty
1 0.0  NN --> digging
1 0.0  NN --> diningroom
1 0.0  NN --> dinnertime
1 0.0  NN --> dippy
1 0.0  NN --> dirigible
1 0.0  NN --> disappointment
1 0.0  NN --> disarray
1 0.0  NN --> disbelief
1 0.0  NN --> disc
1 0.0  NN --> discrimination
1 0.0  NN --> discussion
1 0.0  NN --> disguise
1 0.0  NN --> dishpan
1 0.0  NN --> disposal
1 0.0  NN --> distance
1 0.0  NN --> ditch
1 0.0  NN --> dither
1 0.0  NN --> diver
1 0.0  NN --> do
1 0.0  NN --> doghouse
1 0.0  NN --> doily
1 0.0  NN --> doing
1 0.0  NN --> dollies
1 0.0  NN --> domino
1 0.0  NN --> donut
1 0.0  NN --> doobeec
1 0.0  NN --> doodoo
1 0.0  NN --> doormat
1 0.0  NN --> doorstep
1 0.0  NN --> double
1 0.0  NN --> doubt
1 0.0  NN --> draw
1 0.0  NN --> drip
1 0.0  NN --> drool
1 0.0  NN --> dry
1 0.0  NN --> duffel
1 0.0  NN --> dumptruck
1 0.0  NN --> dungarees
1 0.0  NN --> duty
1 0.0  NN --> each
1 0.0  NN --> eardrum
1 0.0  NN --> earmuff
1 0.0  NN --> earphone
1 0.0  NN --> easel
1 0.0  NN --> east
1 0.0  NN --> edging
1 0.0  NN --> education
1 0.0  NN --> eel
1 0.0  NN --> effort
1 0.0  NN --> eggplant
1 0.0  NN --> eight
1 0.0  NN --> eighth
1 0.0  NN --> electrician
1 0.0  NN --> eleven
1 0.0  NN --> empty
1 0.0  NN --> empy_toilwp
1 0.0  NN --> engineer
1 0.0  NN --> enjoyment
1 0.0  NN --> enthusiasm
1 0.0  NN --> entrance
1 0.0  NN --> ephalent
1 0.0  NN --> ermine
1 0.0  NN --> everyday
1 0.0  NN --> everytime
1 0.0  NN --> evidence
1 0.0  NN --> ex-girl-friend
1 0.0  NN --> example
1 0.0  NN --> excitement
1 0.0  NN --> exclusiveness
1 0.0  NN --> exclusivity
1 0.0  NN --> excuse
1 0.0  NN --> exerciser
1 0.0  NN --> exhaustion
1 0.0  NN --> experiment
1 0.0  NN --> expert
1 0.0  NN --> expression
1 0.0  NN --> extent
1 0.0  NN --> eyeglass
1 0.0  NN --> eyesight
1 0.0  NN --> facewear
1 0.0  NN --> fake
1 0.0  NN --> faker
1 0.0  NN --> fakerface
1 0.0  NN --> fanny
1 0.0  NN --> farmhouse
1 0.0  NN --> farming
1 0.0  NN --> farmyard
1 0.0  NN --> fast
1 0.0  NN --> fato
1 0.0  NN --> fatso
1 0.0  NN --> favor
1 0.0  NN --> feast
1 0.0  NN --> february
1 0.0  NN --> feedback
1 0.0  NN --> feeder
1 0.0  NN --> feeding
1 0.0  NN --> feel
1 0.0  NN --> festival
1 0.0  NN --> filth
1 0.0  NN --> filthy
1 0.0  NN --> fin
1 0.0  NN --> fingerpaint
1 0.0  NN --> fire_works
1 0.0  NN --> firecracker
1 0.0  NN --> firewood
1 0.0  NN --> fisherman
1 0.0  NN --> fishhead
1 0.0  NN --> fishies
1 0.0  NN --> fishtail
1 0.0  NN --> fix
1 0.0  NN --> fizz
1 0.0  NN --> flash
1 0.0  NN --> flicker
1 0.0  NN --> flight
1 0.0  NN --> flipflop
1 0.0  NN --> flood
1 0.0  NN --> floppy
1 0.0  NN --> flowering
1 0.0  NN --> fluffing
1 0.0  NN --> fluid
1 0.0  NN --> fluorescence
1 0.0  NN --> flyerkite
1 0.0  NN --> flypaper
1 0.0  NN --> flyswatter
1 0.0  NN --> foam
1 0.0  NN --> folk
1 0.0  NN --> foodie
1 0.0  NN --> fool
1 0.0  NN --> footfootfootfootfootfootfootfoot
1 0.0  NN --> foothill
1 0.0  NN --> footprint
1 0.0  NN --> footwear
1 0.0  NN --> forklift
1 0.0  NN --> formality
1 0.0  NN --> fort
1 0.0  NN --> frank
1 0.0  NN --> freak
1 0.0  NN --> freedom
1 0.0  NN --> freeway
1 0.0  NN --> french_toast
1 0.0  NN --> frigidaire
1 0.0  NN --> frill
1 0.0  NN --> fringe
1 0.0  NN --> frisbee
1 0.0  NN --> froggy
1 0.0  NN --> frost
1 0.0  NN --> frying
1 0.0  NN --> fudgsicle
1 0.0  NN --> fuel
1 0.0  NN --> funding
1 0.0  NN --> fundy
1 0.0  NN --> furnace
1 0.0  NN --> fuss
1 0.0  NN --> fussyfuss
1 0.0  NN --> fussyfussy
1 0.0  NN --> fussywuss
1 0.0  NN --> future
1 0.0  NN --> fuzzy
1 0.0  NN --> gagab
1 0.0  NN --> gal
1 0.0  NN --> gallery
1 0.0  NN --> gap
1 0.0  NN --> gardening
1 0.0  NN --> gazebo
1 0.0  NN --> gear
1 0.0  NN --> gentleness
1 0.0  NN --> geranium
1 0.0  NN --> gesture
1 0.0  NN --> gigolo
1 0.0  NN --> gingerale
1 0.0  NN --> girls
1 0.0  NN --> giver
1 0.0  NN --> glamour
1 0.0  NN --> glider
1 0.0  NN --> glob
1 0.0  NN --> godmother
1 0.0  NN --> gondola
1 0.0  NN --> goner
1 0.0  NN --> goochigachif
1 0.0  NN --> good_luck_governor
