utterance_id,Name,Age,Participant,Utterance,TokenisedUtt,TokenisedUttLower,TokenisedUttNoPunct,UttLen,UtterancesCyrillic,TokenisedUttCyr,UtterancesCyrillicCleaned,UtterancesCyrillicCleanedNormalised,Manually_corrected
UTT_014364,ELI,1;05.10,EXP,da go pusna li ?,"['da', 'go', 'pusna', 'li', '?']","['da', 'go', 'pusna', 'li', '?']","['da', 'go', 'pusna', 'li']",4,Да го пусна ли ?,"['да', 'го', 'пусна', 'ли']",Да го пусна ли ?,Да го пусна ли ?,Да го пусна ли ?
UTT_042478,TEF,2;03.24,VEL,goljama kokoshka .,"['goljama', 'kokoshka', '.']","['goljama', 'kokoshka', '.']","['goljama', 'kokoshka']",2,Голяма кокошка .,"['голяма', 'кокошка']",Голяма кокошка .,Голяма кокошка .,Голяма кокошка .
UTT_022288,SIM,1;07.11,PLA,"Kakvo be, mamo ?","['Kakvo', 'be', ',', 'mamo', '?']","['kakvo', 'be', ',', 'mamo', '?']","['kakvo', 'be', 'mamo']",3,"Какво бе, мамо ?","['какво', 'бе', 'мамо']","Какво бе , мамо ?","Какво бе , мамо ?","Какво бе , мамо ?"
UTT_036002,SIM,2;10.03,SIM,"na masata shte pokanim Kalojancho, na masata shte pokanim.","['na', 'masata', 'shte', 'pokanim', 'Kalojancho', ',', 'na', 'masata', 'shte', 'pokanim', '.']","['na', 'masata', 'shte', 'pokanim', 'kalojancho', ',', 'na', 'masata', 'shte', 'pokanim', '.']","['na', 'masata', 'shte', 'pokanim', 'kalojancho', 'na', 'masata', 'shte', 'pokanim']",9,"На масата ще поканим калоянчо, на масата ще поканим.","['на', 'масата', 'ще', 'поканим', 'калоянчо', 'на', 'масата', 'ще', 'поканим']","На масата ще поканим калоянчо , на масата ще поканим .","На масата ще поканим калоянчо , на масата ще поканим .","На масата ще поканим Калоянчо , на масата ще поканим ."
UTT_033618,SIM,2;06.19,PLA,vizh kak se plezi.,"['vizh', 'kak', 'se', 'plezi', '.']","['vizh', 'kak', 'se', 'plezi', '.']","['vizh', 'kak', 'se', 'plezi']",4,Виж как се плези.,"['виж', 'как', 'се', 'плези']",Виж как се плези .,Виж как се плези .,Виж как се плези .
UTT_026854,SIM,1;10.07,SIM,papi [: chorapi] .,"['chorapi', '.']","['chorapi', '.']",['chorapi'],1,Папи [: чорапи] .,"['папи', 'чорапи']",Папи .,чорапи .,Чорапи .
UTT_027829,SIM,1;11.04,SIM,slozha med a tikvata .,"['slozha', 'med', 'a', 'tikvata', '.']","['slozha', 'med', 'a', 'tikvata', '.']","['slozha', 'med', 'a', 'tikvata']",4,Сложа мед а тиквата .,"['сложа', 'мед', 'а', 'тиквата']",Сложа мед а тиквата .,Сложа мед а тиквата .,Сложа мед а тиквата .
UTT_023818,SIM,1;08.11,PLA,kakvo malko .,"['kakvo', 'malko', '.']","['kakvo', 'malko', '.']","['kakvo', 'malko']",2,Какво малко .,"['какво', 'малко']",Какво малко .,Какво малко .,Какво малко .
UTT_015483,ELI,1;06.09,EXP,"metlichka li, mamo ?","['metlichka', 'li', ',', 'mamo', '?']","['metlichka', 'li', ',', 'mamo', '?']","['metlichka', 'li', 'mamo']",3,"Метличка ли, мамо ?","['метличка', 'ли', 'мамо']","Метличка ли , мамо ?","Метличка ли , мамо ?","Метличка ли , мамо ?"
UTT_016003,ELI,1;06.17,EXP,"a, moja tefter, ne !","['a', ',', 'moja', 'tefter', ',', 'ne', '!']","['a', ',', 'moja', 'tefter', ',', 'ne', '!']","['a', 'moja', 'tefter', 'ne']",4,"А, моя тефтер, не !","['а', 'моя', 'тефтер', 'не']","А , моя тефтер , не !","А , моя тефтер , не !","А , моя тефтер , не !"
UTT_030012,SIM,2;02.14,PLA,imeto na doktora kak e?,"['imeto', 'na', 'doktora', 'kak', '?']","['imeto', 'na', 'doktora', 'kak', '?']","['imeto', 'na', 'doktora', 'kak']",4,Името на доктора как е?,"['името', 'на', 'доктора', 'как', 'е']",Името на доктора как е ?,Името на доктора как е ?,Името на доктора как е ?
UTT_004173,ALE,1;10.12,ALE,djado Sasho .,"['djado', 'Sasho', '.']","['djado', 'sasho', '.']","['djado', 'sasho']",2,Дядо сашо .,"['дядо', 'сашо']",Дядо сашо .,Дядо сашо .,Дядо Сашо .
UTT_009250,BOG,2;02.27,IRE,"taka konchetata pravjat, a magaretata ?","['taka', 'konchetata', 'pravjat', ',', 'a', 'magaretata', '?']","['taka', 'konchetata', 'pravjat', ',', 'a', 'magaretata', '?']","['taka', 'konchetata', 'pravjat', 'a', 'magaretata']",5,"Така кончетата правят, а магаретата ?","['така', 'кончетата', 'правят', 'а', 'магаретата']","Така кончетата правят , а магаретата ?","Така кончетата правят , а магаретата ?","Така кончетата правят , а магаретата ?"
UTT_000509,ALE,1;01.29,ALE,"lju-lju-lju, paati, paati, lju-lju-lju .","['lju-lju-lju', ',', 'paati', ',', 'paati', ',', 'lju-lju-lju', '.']","['lju-lju-lju', ',', 'paati', ',', 'paati', ',', 'lju-lju-lju', '.']","['lju-lju-lju', 'paati', 'paati', 'lju-lju-lju']",4,"Льу-льу-льу, паати, паати, льу-льу-льу .","['льу-льу-льу', 'паати', 'паати', 'льу-льу-льу']","Льу-льу-льу , паати , паати , льу-льу-льу .","Льу-льу-льу , паати , паати , льу-льу-льу .","Лю-лю-лю , пати , пати , лю-лю-лю ."
UTT_015457,ELI,1;06.09,EXP,da .,"['da', '.']","['da', '.']",['da'],1,Да .,['да'],Да .,Да .,Да .
UTT_042210,TEF,2;02.16,TEF,izh [: vizh] jeja Jeka apchitata !,"['vizh', 'jeja', 'Jeka', 'apchitata', '!']","['vizh', 'jeja', 'jeka', 'apchitata', '!']","['vizh', 'jeja', 'jeka', 'apchitata']",4,Иж [: виж] йея йека апчитата !,"['иж', 'виж', 'йея', 'йека', 'апчитата']",Иж йея йека апчитата !,виж йея йека апчитата !,Виж йея Жека апчитата !
UTT_025352,SIM,1;09.12,KAL,baba e stara .,"['baba', 'e', 'stara', '.']","['baba', 'e', 'stara', '.']","['baba', 'e', 'stara']",3,Баба е стара .,"['баба', 'е', 'стара']",Баба е стара .,Баба е стара .,Баба е стара .
UTT_007199,ALE,2;04.09,STE,Tova ?,"['Tova', '?']","['tova', '?']",['tova'],1,Това ?,['това'],Това ?,Това ?,Това ?
UTT_044053,TEF,2;04.21,BAB,I kakvo pravi loshoto kuche ?,"['I', 'kakvo', 'pravi', 'loshoto', 'kuche', '?']","['i', 'kakvo', 'pravi', 'loshoto', 'kuche', '?']","['i', 'kakvo', 'pravi', 'loshoto', 'kuche']",5,И какво прави лошото куче ?,"['и', 'какво', 'прави', 'лошото', 'куче']",И какво прави лошото куче ?,И какво прави лошото куче ?,И какво прави лошото куче ?
UTT_012234,ELI,1;02.17,EXP,"da, che trjabva da stojat prosto tam, zatova .","['da', ',', 'che', 'trjabva', 'da', 'stojat', 'prosto', 'tam', ',', 'zatova', '.']","['da', ',', 'che', 'trjabva', 'da', 'stojat', 'prosto', 'tam', ',', 'zatova', '.']","['da', 'che', 'trjabva', 'da', 'stojat', 'prosto', 'tam', 'zatova']",8,"Да, че трябва да стоят просто там, затова .","['да', 'че', 'трябва', 'да', 'стоят', 'просто', 'там', 'затова']","Да , че трябва да стоят просто там , затова .","Да , че трябва да стоят просто там , затова .","Да , че трябва да стоят просто там , затова ."
UTT_038361,TEF,1;11.04,VEL,chipi ?,"['chipi', '?']","['chipi', '?']",['chipi'],1,Чипи ?,['чипи'],Чипи ?,Чипи ?,Чипи ?
UTT_006410,ALE,2;03.12,VEL,strax me e ot vodata !,"['strax', 'me', 'e', 'ot', 'vodata', '!']","['strax', 'me', 'e', 'ot', 'vodata', '!']","['strax', 'me', 'e', 'ot', 'vodata']",5,Страx ме е от водата !,"['страx', 'ме', 'е', 'от', 'водата']",Страx ме е от водата !,Страx ме е от водата !,Страx ме е от водата !
UTT_037570,TEF,1;08.00,TEF,gool !,"['gool', '!']","['gool', '!']",['gool'],1,Гоол !,['гоол'],Гоол !,Гоол !,Гоол !
UTT_035508,SIM,2;09.09,SIM,"ne, az prispivam kukli, che mnogo im se spi.","['ne', ',', 'az', 'prispivam', 'kukli', ',', 'che', 'mnogo', 'im', 'se', 'spi', '.']","['ne', ',', 'az', 'prispivam', 'kukli', ',', 'che', 'mnogo', 'im', 'se', 'spi', '.']","['ne', 'az', 'prispivam', 'kukli', 'che', 'mnogo', 'im', 'se', 'spi']",9,"Не, аз приспивам кукли, че много им се спи.","['не', 'аз', 'приспивам', 'кукли', 'че', 'много', 'им', 'се', 'спи']","Не , аз приспивам кукли , че много им се спи .","Не , аз приспивам кукли , че много им се спи .","Не , аз приспивам кукли , че много им се спи ."
UTT_030760,SIM,2;02.21,SIM,pusni go.,"['pusni', 'go', '.']","['pusni', 'go', '.']","['pusni', 'go']",2,Пусни го.,"['пусни', 'го']",Пусни го .,Пусни го .,Пусни го .
UTT_014686,ELI,1;05.18,EXP,kyde go vidja tova pate ?,"['kyde', 'go', 'vidja', 'tova', 'pate', '?']","['kyde', 'go', 'vidja', 'tova', 'pate', '?']","['kyde', 'go', 'vidja', 'tova', 'pate']",5,Къде го видя това пате ?,"['къде', 'го', 'видя', 'това', 'пате']",Къде го видя това пате ?,Къде го видя това пате ?,Къде го видя това пате ?
UTT_012098,ELI,1;02.17,EXP,mjau .,"['mjau', '.']","['mjau', '.']",['mjau'],1,Мяу .,['мяу'],Мяу .,Мяу .,Мяу .
UTT_003528,ALE,1;08.22,ALE,ikam [: iskam] kutijkata !,"['iskam', 'kutijkata', '!']","['iskam', 'kutijkata', '!']","['iskam', 'kutijkata']",2,Икам [: искам] кутийката !,"['икам', 'искам', 'кутийката']",Икам кутийката !,искам кутийката !,Искам кутийката !
UTT_033676,SIM,2;06.21,PLA,blagodarja.,"['blagodarja', '.']","['blagodarja', '.']",['blagodarja'],1,Благодаря.,['благодаря'],Благодаря .,Благодаря .,Благодаря .
UTT_031955,SIM,2;05.21,PLA,na anglijski.,"['na', 'anglijski', '.']","['na', 'anglijski', '.']","['na', 'anglijski']",2,На английски.,"['на', 'английски']",На английски .,На английски .,На английски .
UTT_040100,TEF,2;00.09,TEF,zjmi [: da vzema] doda [: voda] .,"['da', 'vzema', 'voda', '.']","['da', 'vzema', 'voda', '.']","['da', 'vzema', 'voda']",3,Зйми [: да взема] дода [: вода] .,"['зйми', 'да', 'взема', 'дода', 'вода']",Зйми дода .,да взема вода .,Зими вода .
UTT_014619,ELI,1;05.18,EXP,bozhe .,"['bozhe', '.']","['bozhe', '.']",['bozhe'],1,Боже .,['боже'],Боже .,Боже .,Боже .
UTT_018586,ELI,1;07.13,ELI,kuko .,"['kuko', '.']","['kuko', '.']",['kuko'],1,Куко .,['куко'],Куко .,Куко .,Куко .
UTT_002699,ALE,1;07.20,ALE,mama dava chaj .,"['mama', 'dava', 'chaj', '.']","['mama', 'dava', 'chaj', '.']","['mama', 'dava', 'chaj']",3,Мама дава чай .,"['мама', 'дава', 'чай']",Мама дава чай .,Мама дава чай .,Мама дава чай .
UTT_031428,SIM,2;04.04,SIM,v momenta tyrsja knizhkata.,"['v', 'momenta', 'tyrsja', 'knizhkata', '.']","['v', 'momenta', 'tyrsja', 'knizhkata', '.']","['v', 'momenta', 'tyrsja', 'knizhkata']",4,В момента търся книжката.,"['в', 'момента', 'търся', 'книжката']",В момента търся книжката .,В момента търся книжката .,В момента търся книжката .
UTT_006539,ALE,2;03.12,ALE,"mersi, gospodine !","['mersi', ',', 'gospodine', '!']","['mersi', ',', 'gospodine', '!']","['mersi', 'gospodine']",2,"Мерси, господине !","['мерси', 'господине']","Мерси , господине !","Мерси , господине !","Мерси , господине !"
UTT_008809,BOG,2;01.13,BOG,pi [: pri] tjax .,"['pri', 'tjax', '.']","['pri', 'tjax', '.']","['pri', 'tjax']",2,Пи [: при] тяx .,"['пи', 'при', 'тяx']",Пи тяx .,при тяx .,При тяx .
UTT_021409,SIM,1;06.06,PLA,da .,"['da', '.']","['da', '.']",['da'],1,Да .,['да'],Да .,Да .,Да .
UTT_023532,SIM,1;08.07,KAL,baba kakvo jade ?,"['baba', 'kakvo', 'jade', '?']","['baba', 'kakvo', 'jade', '?']","['baba', 'kakvo', 'jade']",3,Баба какво яде ?,"['баба', 'какво', 'яде']",Баба какво яде ?,Баба какво яде ?,Баба какво яде ?
UTT_006489,ALE,2;03.12,ALE,vyzax [: vyrzax] obuvkite .,"['vyrzax', 'obuvkite', '.']","['vyrzax', 'obuvkite', '.']","['vyrzax', 'obuvkite']",2,Възаx [: вързаx] обувките .,"['възаx', 'вързаx', 'обувките']",Възаx обувките .,вързаx обувките .,Вързаx обувките .
UTT_015615,ELI,1;06.09,EXP,kakvo sa tova ?,"['kakvo', 'sa', 'tova', '?']","['kakvo', 'sa', 'tova', '?']","['kakvo', 'sa', 'tova']",3,Какво са това ?,"['какво', 'са', 'това']",Какво са това ?,Какво са това ?,Какво са това ?
UTT_036930,SIM,2;11.22,PLA,Simonchi.,"['Simonchi', '.']","['simonchi', '.']",['simonchi'],1,Симончи.,['симончи'],Симончи .,Симончи .,Симончи .
UTT_043467,TEF,2;04.21,TEF,dunda !,"['dunda', '!']","['dunda', '!']",['dunda'],1,Дунда !,['дунда'],Дунда !,Дунда !,Дунда !
UTT_017292,ELI,1;07.03,EXP,tozi koj e ?,"['tozi', 'koj', 'e', '?']","['tozi', 'koj', 'e', '?']","['tozi', 'koj', 'e']",3,Този кой е ?,"['този', 'кой', 'е']",Този кой е ?,Този кой е ?,Този кой е ?
UTT_036199,SIM,2;10.04,SIM,shto [: zashto] njama dostatychno mjasto?,"['zashto', 'njama', 'dostatychno', 'mjast', '?']","['zashto', 'njama', 'dostatychno', 'mjast', '?']","['zashto', 'njama', 'dostatychno', 'mjast']",4,Що [: защо] няма достатъчно място?,"['що', 'защо', 'няма', 'достатъчно', 'място']",Що няма достатъчно място ?,защо няма достатъчно място ?,Защо няма достатъчно място ?
UTT_032957,SIM,2;06.02,PLA,"ne znam, mamo.","['ne', 'znam', ',', 'mamo', '.']","['ne', 'znam', ',', 'mamo', '.']","['ne', 'znam', 'mamo']",3,"Не знам, мамо.","['не', 'знам', 'мамо']","Не знам , мамо .","Не знам , мамо .","Не знам , мамо ."
UTT_003891,ALE,1;09.19,VEL,a Zajko ?,"['a', 'Zajko', '?']","['a', 'zajko', '?']","['a', 'zajko']",2,А зайко ?,"['а', 'зайко']",А зайко ?,А зайко ?,А зайко ?
UTT_039161,TEF,1;11.25,VEL,"xajde da podredim kyshtata: eto masata, chashkite .","['xajde', 'da', 'podredim', 'kyshtata', 'eto', 'masata', ',', 'chashkite', '.']","['xajde', 'da', 'podredim', 'kyshtata', 'eto', 'masata', ',', 'chashkite', '.']","['xajde', 'da', 'podredim', 'kyshtata', 'eto', 'masata', 'chashkite']",7,"Xайде да подредим къщата: ето масата, чашките .","['xайде', 'да', 'подредим', 'къщата', 'ето', 'масата', 'чашките']","Xайде да подредим къщата : ето масата , чашките .","Xайде да подредим къщата : ето масата , чашките .","Xайде да подредим къщата : ето масата , чашките ."
UTT_004882,ALE,1;11.14,ALE,"o-mama-o-o, bjagam !","['o-mama-o-o', ',', 'bjagam', '!']","['o-mama-o-o', ',', 'bjagam', '!']","['o-mama-o-o', 'bjagam']",2,"О-мама-о-о, бягам !","['о-мама-о-о', 'бягам']","О-мама-о-о , бягам !","О-мама-о-о , бягам !","О-мама-о-о , бягам !"
UTT_028591,SIM,2;00.01,SIM,"torbikata [: torbichkata], mam .","['torbichkata', ',', 'mam', '.']","['torbichkata', ',', 'mam', '.']","['torbichkata', 'mam']",2,"Торбиката [: торбичката], мам .","['торбиката', 'торбичката', 'мам']","Торбиката , мам .",торбичката мам .,"Торбичката , мам ."
UTT_022573,SIM,1;07.19,SIM,shapkata .,"['shapkata', '.']","['shapkata', '.']",['shapkata'],1,Шапката .,['шапката'],Шапката .,Шапката .,Шапката .
UTT_037303,TEF,1;06.22,TEF,da .,"['da', '.']","['da', '.']",['da'],1,Да .,['да'],Да .,Да .,Да .
UTT_024335,SIM,1;08.17,SIM,spiram .,"['spiram', '.']","['spiram', '.']",['spiram'],1,Спирам .,['спирам'],Спирам .,Спирам .,Спирам .
UTT_022610,SIM,1;07.19,PLA,"bravo, mamo !","['bravo', ',', 'mamo', '!']","['bravo', ',', 'mamo', '!']","['bravo', 'mamo']",2,"Браво, мамо !","['браво', 'мамо']","Браво , мамо !","Браво , мамо !","Браво , мамо !"
UTT_041785,TEF,2;01.16,TEF,chashi .,"['chashi', '.']","['chashi', '.']",['chashi'],1,Чаши .,['чаши'],Чаши .,Чаши .,Чаши .
UTT_005469,ALE,2;00.13,ALE,da .,"['da', '.']","['da', '.']",['da'],1,Да .,['да'],Да .,Да .,Да .
UTT_008698,BOG,2;01.13,IRE,xajde da ja peem zaedno !,"['xajde', 'da', 'ja', 'peem', 'zaedno', '!']","['xajde', 'da', 'ja', 'peem', 'zaedno', '!']","['xajde', 'da', 'ja', 'peem', 'zaedno']",5,Xайде да я пеем заедно !,"['xайде', 'да', 'я', 'пеем', 'заедно']",Xайде да я пеем заедно !,Xайде да я пеем заедно !,Xайде да я пеем заедно !
UTT_003315,ALE,1;08.22,VEL,obache Masha se zagubila .,"['obache', 'Masha', 'se', 'zagubila', '.']","['obache', 'masha', 'se', 'zagubila', '.']","['obache', 'masha', 'se', 'zagubila']",4,Обаче маша се загубила .,"['обаче', 'маша', 'се', 'загубила']",Обаче маша се загубила .,Обаче маша се загубила .,Обаче маша се загубила .
UTT_001218,ALE,1;05.08,ALE,pij .,"['pij', '.']","['pij', '.']",['pij'],1,Пий .,['пий'],Пий .,Пий .,Пий .
UTT_013455,ELI,1;03.02,EXP,opravi .,"['opravi', '.']","['opravi', '.']",['opravi'],1,Оправи .,['оправи'],Оправи .,Оправи .,Оправи .
UTT_009890,BOG,2;04.05,IRE,s kakvo pishat decata ?,"['s', 'kakvo', 'pishat', 'decata', '?']","['s', 'kakvo', 'pishat', 'decata', '?']","['s', 'kakvo', 'pishat', 'decata']",4,С какво пишат децата ?,"['с', 'какво', 'пишат', 'децата']",С какво пишат децата ?,С какво пишат децата ?,С какво пишат децата ?
UTT_026769,SIM,1;10.03,SIM,vzema .,"['vzema', '.']","['vzema', '.']",['vzema'],1,Взема .,['взема'],Взема .,Взема .,Взема .
UTT_005909,ALE,2;02.24,VEL,zashto ?,"['zashto', '?']","['zashto', '?']",['zashto'],1,Защо ?,['защо'],Защо ?,Защо ?,Защо ?
UTT_041864,TEF,2;02.16,MIM,"kakvo e tuj, deto go vzemash ?","['kakvo', 'e', 'tuj', ',', 'deto', 'go', 'vzemash', '?']","['kakvo', 'e', 'tuj', ',', 'deto', 'go', 'vzemash', '?']","['kakvo', 'e', 'tuj', 'deto', 'go', 'vzemash']",6,"Какво е туй, дето го вземаш ?","['какво', 'е', 'туй', 'дето', 'го', 'вземаш']","Какво е туй , дето го вземаш ?","Какво е туй , дето го вземаш ?","Какво е туй , дето го вземаш ?"
UTT_039779,TEF,2;00.09,TEF,njama tuka .,"['njama', 'tuka', '.']","['njama', 'tuka', '.']","['njama', 'tuka']",2,Няма тука .,"['няма', 'тука']",Няма тука .,Няма тука .,Няма тука .
UTT_018487,ELI,1;07.13,EXP,da e po-vkusnichko .,"['da', 'e', 'po-vkusnichko', '.']","['da', 'e', 'po-vkusnichko', '.']","['da', 'e', 'po-vkusnichko']",3,Да е по-вкусничко .,"['да', 'е', 'по-вкусничко']",Да е по-вкусничко .,Да е по-вкусничко .,Да е по-вкусничко .
UTT_016522,ELI,1;06.21,EXP,kakvo si papkash ti be ?,"['kakvo', 'si', 'papkash', 'ti', 'be', '?']","['kakvo', 'si', 'papkash', 'ti', 'be', '?']","['kakvo', 'si', 'papkash', 'ti', 'be']",5,Какво си папкаш ти бе ?,"['какво', 'си', 'папкаш', 'ти', 'бе']",Какво си папкаш ти бе ?,Какво си папкаш ти бе ?,Какво си папкаш ти бе ?
UTT_024773,SIM,1;09.02,PLA,koj izcapa tam ?,"['koj', 'izcapa', 'tam', '?']","['koj', 'izcapa', 'tam', '?']","['koj', 'izcapa', 'tam']",3,Кой изцапа там ?,"['кой', 'изцапа', 'там']",Кой изцапа там ?,Кой изцапа там ?,Кой изцапа там ?
UTT_021664,SIM,1;06.19,SIM,"Ooo, oo .","['Ooo', ',', 'oo', '.']","['ooo', ',', 'oo', '.']","['ooo', 'oo']",2,"Ооо, оо .","['ооо', 'оо']","Ооо , оо .","Ооо , оо .","Ооо , оо ."
UTT_034853,SIM,2;08.05,SIM,"bebi, bebi, bebi, vzemi si go, ajde.","['bebi', ',', 'bebi', ',', 'bebi', ',', 'vzemi', 'si', 'go', ',', 'ajde', '.']","['bebi', ',', 'bebi', ',', 'bebi', ',', 'vzemi', 'si', 'go', ',', 'ajde', '.']","['bebi', 'bebi', 'bebi', 'vzemi', 'si', 'go', 'ajde']",7,"Беби, беби, беби, вземи си го, айде.","['беби', 'беби', 'беби', 'вземи', 'си', 'го', 'айде']","Беби , беби , беби , вземи си го , айде .","Беби , беби , беби , вземи си го , айде .","Беби , беби , беби , вземи си го , айде ."
UTT_028956,SIM,2;00.23,PLA,da.,"['da', '.']","['da', '.']",['da'],1,Да.,['да'],Да .,Да .,Да .
UTT_035604,SIM,2;09.12,SIM,spinka mi se.,"['spinka', 'mi', 'se', '.']","['spinka', 'mi', 'se', '.']","['spinka', 'mi', 'se']",3,Спинка ми се.,"['спинка', 'ми', 'се']",Спинка ми се .,Спинка ми се .,Спинка ми се .
UTT_024232,SIM,1;08.17,SIM,"masata, masata .","['masata', ',', 'masata', '.']","['masata', ',', 'masata', '.']","['masata', 'masata']",2,"Масата, масата .","['масата', 'масата']","Масата , масата .","Масата , масата .","Масата , масата ."
UTT_039622,TEF,2;00.09,VEL,vizh gybka !,"['vizh', 'gybka', '!']","['vizh', 'gybka', '!']","['vizh', 'gybka']",2,Виж гъбка !,"['виж', 'гъбка']",Виж гъбка !,Виж гъбка !,Виж гъбка !
UTT_005746,ALE,2;02.24,VEL,ne moga da go gledam !,"['ne', 'moga', 'da', 'go', 'gledam', '!']","['ne', 'moga', 'da', 'go', 'gledam', '!']","['ne', 'moga', 'da', 'go', 'gledam']",5,Не мога да го гледам !,"['не', 'мога', 'да', 'го', 'гледам']",Не мога да го гледам !,Не мога да го гледам !,Не мога да го гледам !
UTT_026913,SIM,1;10.08,SIM,daj topkata a [: da] ritam kache [: krache] .,"['daj', 'topkata', 'da', 'ritam', 'krache', '.']","['daj', 'topkata', 'da', 'ritam', 'krache', '.']","['daj', 'topkata', 'da', 'ritam', 'krache']",5,Дай топката а [: да] ритам каче [: краче] .,"['дай', 'топката', 'а', 'да', 'ритам', 'каче', 'краче']",Дай топката а ритам каче .,Дай топката да ритам краче .,Дай топката да ритам краче .
UTT_034702,SIM,2;07.29,PLA,"mi sigurno otzad v kolata, kato vashite.","['mi', 'sigurno', 'otzad', 'v', 'kolata', ',', 'kato', 'vashite', '.']","['mi', 'sigurno', 'otzad', 'v', 'kolata', ',', 'kato', 'vashite', '.']","['mi', 'sigurno', 'otzad', 'v', 'kolata', 'kato', 'vashite']",7,"Ми сигурно отзад в колата, като вашите.","['ми', 'сигурно', 'отзад', 'в', 'колата', 'като', 'вашите']","Ми сигурно отзад в колата , като вашите .","Ми сигурно отзад в колата , като вашите .","Ми сигурно отзад в колата , като вашите ."
UTT_024399,SIM,1;08.22,PLA,"da, mamo, shte mu dadem kapki, no ne sa tezi kapkite .","['da', ',', 'mamo', ',', 'shte', 'mu', 'dadem', 'kapki', ',', 'no', 'ne', 'sa', 'tezi', 'kapkite', '.']","['da', ',', 'mamo', ',', 'shte', 'mu', 'dadem', 'kapki', ',', 'no', 'ne', 'sa', 'tezi', 'kapkite', '.']","['da', 'mamo', 'shte', 'mu', 'dadem', 'kapki', 'no', 'ne', 'sa', 'tezi', 'kapkite']",11,"Да, мамо, ще му дадем капки, но не са тези капките .","['да', 'мамо', 'ще', 'му', 'дадем', 'капки', 'но', 'не', 'са', 'тези', 'капките']","Да , мамо , ще му дадем капки , но не са тези капките .","Да , мамо , ще му дадем капки , но не са тези капките .","Да , мамо , ще му дадем капки , но не са тези капките ."
UTT_001801,ALE,1;06.21,ALE,koua [: Kola] .,"['Kola', '.']","['kola', '.']",['kola'],1,Коуа [: кола] .,"['коуа', 'кола']",Коуа .,кола .,Кола .
UTT_028453,SIM,1;11.23,SIM,baba noktite .,"['baba', 'noktite', '.']","['baba', 'noktite', '.']","['baba', 'noktite']",2,Баба ноктите .,"['баба', 'ноктите']",Баба ноктите .,Баба ноктите .,Баба ноктите .
UTT_007062,ALE,2;03.12,ALE,uchitelkata kyde e ?,"['uchitelkata', 'kyde', 'e', '?']","['uchitelkata', 'kyde', 'e', '?']","['uchitelkata', 'kyde', 'e']",3,Учителката къде е ?,"['учителката', 'къде', 'е']",Учителката къде е ?,Учителката къде е ?,Учителката къде е ?
UTT_017548,ELI,1;07.03,EXP,"maj, maj padna .","['maj', ',', 'maj', 'padna', '.']","['maj', ',', 'maj', 'padna', '.']","['maj', 'maj', 'padna']",3,"Май, май падна .","['май', 'май', 'падна']","Май , май падна .","Май , май падна .","Май , май падна ."
UTT_044699,TEF,2;05.25,TEF,az spinkam kevata [: v krevata] tam .,"['az', 'spinkam', 'v', 'krevata', 'tam', '.']","['az', 'spinkam', 'v', 'krevata', 'tam', '.']","['az', 'spinkam', 'v', 'krevata', 'tam']",5,Аз спинкам кевата [: в кревата] там .,"['аз', 'спинкам', 'кевата', 'в', 'кревата', 'там']",Аз спинкам кевата там .,Аз в кревата там .,Аз спинкам кревата там .
UTT_038573,TEF,1;11.04,TEF,Ima gada [: nagrada] .,"['Ima', 'nagrada', '.']","['ima', 'nagrada', '.']","['ima', 'nagrada']",2,Има гада [: награда] .,"['има', 'гада', 'награда']",Има гада .,Има награда .,Има награда .
UTT_021022,SIM,1;05.21,PLA,kakvo pravi katerichkata ?,"['kakvo', 'pravi', 'katerichkata', '?']","['kakvo', 'pravi', 'katerichkata', '?']","['kakvo', 'pravi', 'katerichkata']",3,Какво прави катеричката ?,"['какво', 'прави', 'катеричката']",Какво прави катеричката ?,Какво прави катеричката ?,Какво прави катеричката ?
UTT_036388,SIM,2;10.07,PLA,"kak razbra, che iska sok?","['kak', 'razbra', ',', 'che', 'iska', 'so', '?']","['kak', 'razbra', ',', 'che', 'iska', 'so', '?']","['kak', 'razbra', 'che', 'iska', 'so']",5,"Как разбра, че иска сок?","['как', 'разбра', 'че', 'иска', 'сок']","Как разбра , че иска сок ?","Как разбра , че иска сок ?","Как разбра , че иска сок ?"
UTT_011214,ELI,1;02.08,EXP,Ela da pravim zapischeto .,"['Ela', 'da', 'pravim', 'zapischeto', '.']","['ela', 'da', 'pravim', 'zapischeto', '.']","['ela', 'da', 'pravim', 'zapischeto']",4,Ела да правим записчето .,"['ела', 'да', 'правим', 'записчето']",Ела да правим записчето .,Ела да правим записчето .,Ела да правим записчето .
UTT_035472,SIM,2;09.09,PLA,da ti naleja li ot tozi?,"['da', 'ti', 'naleja', 'li', 'ot', 'toz', '?']","['da', 'ti', 'naleja', 'li', 'ot', 'toz', '?']","['da', 'ti', 'naleja', 'li', 'ot', 'toz']",6,Да ти налея ли от този?,"['да', 'ти', 'налея', 'ли', 'от', 'този']",Да ти налея ли от този ?,Да ти налея ли от този ?,Да ти налея ли от този ?
UTT_025231,SIM,1;09.05,PLA,kogo obichash ?,"['kogo', 'obichash', '?']","['kogo', 'obichash', '?']","['kogo', 'obichash']",2,Кого обичаш ?,"['кого', 'обичаш']",Кого обичаш ?,Кого обичаш ?,Кого обичаш ?
